time,open,high,low,close,volume
2022-10-14 09:45:00,143.3,143.3725,141.7789,141.867,2571633
2022-10-14 09:40:00,142.855,143.49,142.67,143.3,2062849
2022-10-14 09:35:00,144.31,144.52,142.61,142.87,3563595
2022-10-14 09:30:00,143.85,144.5,143.62,144.31,97194
2022-10-14 09:25:00,143.99,144.08,143.8,143.83,52583
2022-10-14 09:20:00,143.88,144.02,143.7,143.99,56011
2022-10-14 09:15:00,144.3,144.3,143.8001,143.87,72283
2022-10-14 09:10:00,144.23,144.33,143.88,144.29,79536
2022-10-14 09:05:00,144.12,144.39,143.93,144.27,104279
2022-10-14 09:00:00,143.9,144.66,143.8,144.1,207620
2022-10-14 08:55:00,143.3,143.94,143.3,143.9276,126365
2022-10-14 08:50:00,142.95,143.38,142.91,143.33,66473
2022-10-14 08:45:00,142.9,142.95,142.65,142.9,26380
2022-10-14 08:40:00,142.69,142.96,142.55,142.86,37575
2022-10-14 08:35:00,142.55,142.88,142.11,142.68,64714
2022-10-14 08:30:00,142.64,142.68,142.44,142.44,35352
2022-10-14 08:25:00,142.5,142.73,142.5,142.68,16898
2022-10-14 08:20:00,142.24,142.5,142.21,142.5,10746
2022-10-14 08:15:00,142.58,142.58,142.2,142.2,14624
2022-10-14 08:10:00,142.39,142.6,142.3,142.6,18751
2022-10-14 08:05:00,143.01,143.3893,141.7715,142.38,96884
2022-10-14 08:00:00,142.23,142.32,142.1,142.11,24580
2022-10-14 07:55:00,142.57,142.57,142.2,142.27,19463
2022-10-14 07:50:00,142.65,142.74,142.51,142.51,17415
2022-10-14 07:45:00,142.98,143.02,142.62,142.63,16047
2022-10-14 07:40:00,142.98,143.06,142.98,143.01,1352
2022-10-14 07:35:00,143.0,143.03,142.9,142.99,10392
2022-10-14 07:30:00,143.33,143.36,143.06,143.15,15046
2022-10-14 07:25:00,143.33,143.33,143.3,143.33,2367
2022-10-14 07:20:00,143.32,143.38,143.25,143.25,5327
2022-10-14 07:15:00,143.18,143.38,143.15,143.38,20549
2022-10-14 07:10:00,143.03,143.18,143.03,143.18,6835
2022-10-14 07:05:00,143.2,143.26,143.01,143.01,13516
2022-10-14 07:00:00,143.14,143.2,143.14,143.2,1194
2022-10-14 06:55:00,143.19,143.23,143.15,143.15,3512
2022-10-14 06:50:00,143.03,143.03,143.0,143.0,3612
2022-10-14 06:45:00,142.84,142.84,142.8,142.8,2720
2022-10-14 06:40:00,143.0,143.0,142.84,142.84,2710
2022-10-14 06:35:00,143.13,143.25,142.83,142.83,7256
2022-10-14 06:30:00,142.74,143.19,142.72,143.01,14747
2022-10-14 06:25:00,142.52,142.77,142.52,142.77,427
2022-10-14 06:20:00,142.48,142.5,142.42,142.5,2326
2022-10-14 06:15:00,142.7,142.78,142.64,142.72,6818
2022-10-14 06:10:00,142.65,142.8,142.65,142.8,3676
